Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
Y0-M01-D16,102.84,161.83,183.83,147.7,49.09,7.97,104.9,32.42,137.03,126.99,155.79,173.09,86.39,150.89,28.26,24.03,114.66,60.26,59.4,52.6,99.44,147.52,116.28,16.23,86.54
Y0-M01-D19,103.79,159.98,182.61,149.54,51.09,8.0,104.86,31.31,133.88,123.55,163.86,174.45,84.78,146.11,28.39,24.1,113.91,59.52,58.34,53.95,102.73,143.01,118.74,17.01,82.31
Y0-M01-D20,105.65,159.05,181.12,155.56,51.41,7.57,103.55,32.19,131.39,122.32,162.85,173.36,84.04,135.8,27.86,24.02,113.48,59.35,56.9,53.49,103.35,151.5,121.93,17.14,83.98
Y0-M01-D21,105.62,158.07,181.0,149.12,50.25,7.21,100.78,30.83,134.36,125.7,153.44,174.77,85.34,144.33,26.19,23.96,112.41,57.12,55.09,52.63,103.07,148.05,118.88,18.12,84.75
Y0-M01-D22,107.86,159.74,195.87,153.83,54.54,7.36,98.85,30.95,141.44,120.08,173.08,178.85,82.82,142.56,27.41,23.96,112.03,57.89,55.81,53.95,100.31,143.09,114.17,18.05,83.06
Y0-M01-D23,109.73,158.57,193.52,146.69,53.7,7.45,102.04,31.44,136.48,125.57,167.11,180.27,82.5,145.39,27.6,23.64,109.46,57.28,57.94,53.8,97.01,151.42,109.69,17.39,84.92
Y0-M01-D26,105.79,156.91,182.95,140.33,51.27,7.04,102.14,31.59,126.76,128.91,164.89,184.85,79.51,143.94,27.78,23.57,111.54,58.27,56.7,54.05,97.68,154.25,106.51,18.1,88.14
Y0-M01-D27,108.75,156.22,183.3,151.34,50.31,7.4,101.41,30.84,125.12,127.86,156.57,191.44,80.14,148.46,27.22,23.84,111.79,58.42,58.19,54.61,98.42,152.38,108.24,18.21,93.09
Y0-M01-D28,111.41,160.49,182.19,155.36,51.98,6.95,102.75,30.41,122.66,125.5,162.18,185.53,80.87,151.81,27.7,24.15,110.85,61.12,57.16,53.43,98.38,148.35,105.26,17.95,90.48
Y0-M01-D29,114.76,163.92,192.77,159.63,59.88,6.92,101.32,29.04,124.8,129.73,159.5,190.62,80.45,146.44,27.06,24.6,112.71,60.6,56.62,53.68,97.48,151.35,103.15,17.86,90.82
Y0-M01-D30,116.57,164.29,183.32,163.63,59.7,6.77,98.39,29.8,126.27,130.28,165.95,189.15,79.04,147.56,26.39,24.76,114.73,59.52,55.39,52.88,103.0,152.95,108.07,18.0,91.04
Y0-M02-D02,117.75,164.24,184.2,161.16,62.43,6.68,96.99,29.02,129.17,137.69,167.39,189.15,82.29,152.26,26.36,24.42,115.86,60.5,55.84,53.41,103.24,162.04,107.73,17.92,90.58
Y0-M02-D03,115.2,163.52,174.27,158.21,58.8,6.55,96.2,28.76,130.94,139.32,159.45,188.0,84.85,149.05,25.94,24.06,116.18,63.72,56.08,53.96,103.34,158.31,103.99,17.97,87.89
Y0-M02-D04,115.41,165.78,168.4,153.52,56.88,6.4,96.99,28.22,136.97,137.14,161.69,188.43,85.13,154.27,26.43,24.23,118.72,65.84,56.54,53.43,104.7,166.82,106.49,18.67,86.14
Y0-M02-D05,110.28,156.97,157.84,151.77,47.29,6.36,94.24,28.41,134.64,136.47,157.06,185.86,82.2,153.07,26.55,24.6,119.23,67.66,56.97,53.3,103.19,155.7,101.32,18.6,84.03
Y0-M02-D06,109.5,156.13,151.99,150.15,46.07,6.35,98.27,27.15,130.63,138.59,157.7,190.27,82.96,159.37,26.38,24.72,120.8,66.66,55.36,52.25,107.02,160.83,100.92,19.6,88.47
Y0-M02-D09,107.88,152.99,152.91,149.1,41.98,6.28,103.72,27.73,135.84,140.01,154.32,185.05,80.87,157.13,26.48,25.06,120.57,67.41,55.84,51.97,110.53,164.96,101.24,19.24,89.28
Y0-M02-D10,107.97,154.94,159.0,148.19,43.7,6.11,99.56,27.21,136.67,139.3,152.71,185.2,80.38,154.42,27.03,25.26,120.03,63.39,59.0,51.79,109.85,177.85,100.31,20.02,88.64
Y0-M02-D11,106.7,154.82,161.23,151.8,41.59,5.72,101.06,28.13,129.93,133.19,145.21,184.76,76.39,154.82,27.37,25.4,118.79,61.52,56.85,51.42,109.65,179.31,100.92,20.06,88.42
Y0-M02-D12,104.86,151.3,160.58,144.12,40.22,5.42,99.3,26.83,128.56,136.76,153.97,188.69,77.62,156.23,27.35,25.44,117.41,60.4,57.05,50.82,108.05,182.45,99.39,20.03,86.52
Y0-M02-D13,103.74,148.45,157.24,152.85,37.89,5.47,97.16,25.98,119.78,131.52,145.82,193.54,78.84,162.5,27.82,25.47,117.62,62.41,55.91,50.54,110.7,187.11,101.06,21.17,90.12
Y0-M02-D16,102.9,145.38,163.04,152.03,40.2,5.63,99.06,28.05,124.28,137.02,141.49,198.23,80.6,169.7,28.55,25.08,114.99,61.59,53.09,48.18,110.47,188.67,100.76,21.62,92.15
Y0-M02-D17,103.26,143.66,154.89,140.36,36.43,5.87,102.25,27.65,127.1,134.9,140.6,197.56,79.97,160.29,28.39,24.79,114.1,60.26,52.97,48.06,108.19,176.97,100.21,20.7,91.92
Y0-M02-D18,105.29,142.88,157.07,141.6,36.36,5.84,99.59,28.16,123.86,132.1,142.79,196.1,80.8,159.25,28.72,24.61,112.79,58.7,53.58,48.32,109.86,168.7,99.74,21.09,93.71
Y0-M02-D19,104.45,142.2,140.81,135.73,36.17,6.18,99.65,29.72,120.92,135.28,140.76,199.78,82.02,163.76,28.71,24.68,110.03,60.96,53.45,48.46,111.86,151.24,99.55,21.33,87.73
Y0-M02-D20,102.03,140.07,138.82,140.44,37.57,6.31,94.17,29.58,125.94,138.27,138.62,198.53,81.28,160.74,28.46,24.42,108.04,61.86,52.72,48.54,109.86,143.96,96.85,20.47,83.95
Y0-M02-D23,100.82,137.59,132.98,141.18,35.55,6.26,93.63,27.44,119.13,135.37,144.02,197.75,81.07,163.87,28.0,24.49,107.26,62.78,52.93,47.45,110.81,147.21,102.92,21.78,88.37
Y0-M02-D24,99.14,137.87,125.73,141.13,34.56,5.99,92.45,27.74,114.91,130.52,137.42,195.47,81.46,159.72,27.2,24.91,106.06,64.64,52.0,47.27,107.54,142.1,103.53,22.11,91.86
Y0-M02-D25,102.13,140.22,134.8,144.76,33.49,5.58,92.42,29.03,107.58,126.73,141.04,201.38,83.25,160.67,26.99,25.23,106.23,64.4,51.55,47.2,106.27,136.95,100.97,21.69,91.16
Y0-M02-D26,98.91,135.47,138.75,150.39,32.63,5.61,92.95,28.35,107.42,123.12,136.59,200.64,80.03,159.96,26.66,24.63,105.97,63.29,50.62,45.12,105.46,132.18,101.78,20.99,96.19
Y0-M02-D27,95.38,133.76,142.67,134.73,30.26,5.79,94.79,28.62,110.81,127.52,141.26,206.5,83.17,166.03,26.94,24.12,104.06,60.31,47.93,43.72,106.38,131.37,100.62,21.71,100.8
Y0-M03-D02,95.42,134.99,146.31,137.61,31.22,5.99,96.98,28.6,111.64,128.92,141.03,213.48,84.69,171.42,27.98,23.76,105.93,60.56,46.56,43.92,103.81,138.0,101.57,21.32,103.35
Y0-M03-D03,96.49,134.96,150.59,139.17,29.8,6.01,94.37,28.59,113.56,121.17,138.56,213.52,86.24,171.05,28.18,23.78,103.8,61.08,47.87,43.75,103.96,140.91,101.66,22.67,106.0
Y0-M03-D04,95.76,134.55,149.85,138.79,30.27,5.98,98.53,29.5,119.65,122.07,146.29,212.55,86.41,165.18,27.31,23.53,103.86,62.09,48.44,43.77,106.55,151.9,102.07,22.62,106.32
Y0-M03-D05,95.95,134.55,145.52,133.43,29.55,5.96,93.81,29.16,120.88,123.09,136.44,210.03,83.8,164.24,27.47,23.38,102.84,60.25,47.08,42.94,106.67,146.98,99.6,23.52,117.37
Y0-M03-D06,95.97,135.93,143.93,133.92,30.48,6.08,94.41,30.1,118.8,126.2,127.91,219.19,83.83,160.65,27.83,23.3,100.7,59.51,46.93,42.81,106.27,136.82,97.64,24.52,111.4
Y0-M03-D09,94.27,133.77,139.89,127.19,30.48,6.03,95.9,30.85,117.99,123.0,133.32,220.14,85.57,168.13,28.01,23.39,101.1,59.5,46.49,43.52,107.83,133.9,98.87,23.97,107.56
Y0-M03-D10,93.06,132.66,142.53,126.66,30.68,6.02,95.54,34.4,110.93,122.19,135.97,221.75,87.82,170.97,28.6,23.75,101.12,60.85,47.11,44.38,105.51,135.0,101.2,25.21,106.36
Y0-M03-D11,92.74,133.57,145.49,130.9,32.42,6.36,93.73,35.15,110.72,121.05,132.35,222.94,88.28,177.73,28.32,23.51,98.82,61.43,46.36,43.89,101.67,126.71,100.61,24.79,105.38
Y0-M03-D12,93.64,134.14,145.55,133.71,34.95,6.01,90.51,35.64,107.12,120.88,131.12,219.31,87.97,173.92,28.01,23.81,99.58,63.62,48.87,44.38,105.46,123.99,104.17,25.14,106.59
Y0-M03-D13,93.78,134.85,150.99,135.36,37.64,5.82,94.14,36.24,106.43,122.64,133.51,219.73,88.44,180.2,28.92,23.6,98.31,62.98,49.22,45.05,99.55,117.69,102.03,24.31,107.13
Y0-M03-D16,93.72,135.42,151.55,135.14,39.41,5.88,96.54,38.59,103.02,123.74,130.99,221.82,85.85,174.4,28.53,24.15,101.04,65.84,50.29,45.73,98.26,116.83,102.39,24.91,109.38
Y0-M03-D17,93.29,136.49,151.5,138.74,40.66,5.5,96.79,38.18,103.02,125.38,132.82,222.37,87.33,180.08,29.04,24.06,99.84,65.06,51.07,45.7,98.58,119.01,106.66,25.81,110.27
Y0-M03-D18,92.21,135.16,147.44,142.51,39.5,5.74,99.74,36.46,99.47,128.62,129.04,220.12,88.0,175.3,28.79,23.88,97.46,67.55,50.65,45.63,100.07,115.02,111.21,26.2,103.91
Y0-M03-D19,90.74,133.22,143.29,142.32,39.5,5.75,97.12,35.13,99.79,126.44,127.44,222.07,89.75,180.1,29.03,23.81,97.02,67.05,51.86,46.34,100.14,119.73,109.18,26.66,105.86
Y0-M03-D20,89.69,131.31,136.47,137.51,36.06,5.61,98.44,37.83,99.31,124.57,131.08,227.62,89.76,174.22,28.01,24.28,96.18,65.05,49.51,45.23,101.26,114.71,106.83,25.1,102.78
Y0-M03-D23,87.79,132.48,136.24,140.03,34.91,5.68,99.45,37.75,99.11,123.95,134.07,223.99,89.65,166.27,27.27,24.29,95.91,61.9,48.23,44.94,101.29,113.97,111.17,25.56,102.67
Y0-M03-D24,88.31,133.09,138.17,143.13,36.22,5.69,98.19,36.32,106.27,125.28,135.12,220.69,92.79,163.91,27.0,24.28,94.96,59.97,45.95,45.16,100.62,117.98,107.35,25.4,106.53
Y0-M03-D25,88.79,132.75,135.18,133.51,36.91,5.98,99.99,36.16,108.34,130.05,144.05,224.39,93.99,165.73,27.95,24.08,95.95,58.13,46.26,45.06,102.05,124.65,109.53,25.3,109.49
Y0-M03-D26,88.75,133.09,135.53,136.24,38.86,5.92,100.57,39.4,101.62,135.47,148.3,225.79,93.81,167.45,28.19,24.17,95.11,57.62,46.14,45.31,99.88,126.4,109.35,25.55,108.93
Y0-M03-D27,87.44,133.17,130.64,132.96,39.25,6.12,99.98,38.47,100.01,129.8,143.45,220.5,93.11,164.11,27.77,24.05,95.27,58.32,46.65,46.15,98.09,129.92,106.59,26.55,118.79
Y0-M03-D30,87.86,131.91,132.4,134.13,39.43,5.98,99.93,35.97,98.92,123.16,141.28,230.68,95.74,162.97,27.05,23.73,95.5,58.0,44.57,46.37,96.68,134.19,105.44,26.26,123.48
Y0-M03-D31,89.69,133.45,136.74,130.99,41.28,5.98,104.04,37.86,98.69,128.11,142.44,233.98,93.1,161.02,26.84,24.28,96.57,59.25,45.28,48.21,92.51,133.16,106.32,25.45,125.52
Y0-M04-D01,89.31,133.61,137.33,129.42,42.24,6.24,105.21,38.41,101.77,124.16,145.31,226.6,93.83,162.47,27.33,24.24,95.02,61.39,44.88,47.47,90.27,130.72,102.72,26.37,125.45
Y0-M04-D02,90.18,134.21,138.94,136.8,43.9,6.37,109.93,41.07,108.11,123.16,148.43,227.58,94.62,164.48,27.74,24.22,97.73,63.35,46.57,48.01,91.22,131.6,102.1,27.38,125.87
Y0-M04-D03,88.1,131.66,138.23,130.2,43.14,6.4,109.76,42.43,110.8,121.98,154.28,232.65,98.53,170.94,27.85,24.0,96.09,61.81,48.22,48.69,89.08,134.74,100.02,27.41,117.19
Y0-M04-D06,87.24,131.26,139.26,134.4,42.06,6.06,112.81,41.24,113.66,118.95,159.38,240.45,102.94,180.19,28.46,24.2,96.47,62.85,48.15,49.01,87.79,126.77,98.96,28.2,114.01
Y0-M04-D07,87.16,131.93,141.21,134.51,40.96,5.88,109.93,38.99,112.52,115.46,156.79,238.17,103.35,178.75,28.96,24.28,98.26,62.25,46.7,49.72,87.82,131.26,100.41,29.1,115.72
Y0-M04-D08,87.67,133.94,147.37,144.56,43.39,5.69,113.75,37.8,115.0,119.37,161.25,246.29,108.21,187.68,29.78,24.55,100.6,66.44,49.89,50.13,88.23,129.05,103.51,29.64,120.66
Y0-M04-D09,89.14,136.19,153.26,138.69,43.05,5.47,114.98,37.71,114.49,119.97,160.09,246.82,109.2,188.98,29.4,24.73,102.5,66.79,51.0,50.9,87.65,131.85,102.76,28.93,118.53
Y0-M04-D10,88.1,136.08,154.66,138.73,43.5,5.41,114.12,41.53,116.33,121.75,167.33,250.35,109.42,189.81,30.45,24.52,104.45,68.13,50.17,50.63,89.28,128.47,102.59,29.17,116.7
Y0-M04-D13,88.36,136.12,155.97,136.99,41.61,5.32,112.92,41.76,118.12,120.72,165.95,246.22,112.58,189.2,30.67,24.6,106.88,68.14,49.75,51.54,88.3,123.21,106.95,29.95,116.49
Y0-M04-D14,88.96,136.3,153.14,134.04,40.67,5.4,110.13,44.56,121.57,122.77,167.84,242.3,109.02,189.11,31.07,24.82,107.73,70.79,51.44,52.79,90.37,129.41,107.25,30.17,119.52
Y0-M04-D15,89.81,135.82,153.04,131.72,41.72,5.35,111.55,42.57,119.4,124.13,162.69,240.26,110.93,182.14,31.28,25.43,106.59,68.5,51.32,52.49,88.54,135.82,106.52,29.34,116.54
Y0-M04-D16,90.7,137.79,158.66,136.21,44.93,5.39,108.76,43.43,115.93,126.99,160.11,234.3,109.09,182.82,31.14,24.95,104.75,71.13,51.33,52.99,85.32,139.66,103.97,29.37,111.9
Y0-M04-D17,90.67,138.07,152.86,140.32,46.15,5.44,111.61,46.18,126.83,134.4,162.95,232.65,104.65,176.06,31.58,25.03,106.26,73.1,55.05,52.92,82.23,137.04,100.79,29.67,115.55
Y0-M04-D20,91.96,139.19,161.31,133.92,46.02,5.64,109.67,44.77,129.28,137.23,161.11,229.36,101.87,174.99,31.29,24.71,104.6,72.08,53.34,52.05,81.08,132.11,100.92,29.43,110.76
Y0-M04-D21,91.24,138.32,159.52,129.71,44.39,5.76,113.21,47.51,133.21,140.58,166.66,229.52,103.12,171.14,31.29,24.54,103.62,69.74,52.0,51.49,80.94,142.4,102.68,29.55,113.01
Y0-M04-D22,91.46,137.68,167.37,133.6,44.18,5.82,109.53,44.3,134.71,139.03,164.25,232.37,102.37,170.68,30.95,24.03,102.06,65.2,51.17,51.56,83.52,145.54,102.77,30.12,119.08
Y0-M04-D23,91.32,135.65,159.02,132.25,42.65,5.86,107.01,47.12,141.01,144.69,166.04,240.02,102.91,172.72,31.12,24.18,100.31,65.88,51.71,52.45,84.68,145.98,104.93,30.31,119.64
Y0-M04-D24,90.4,135.08,154.64,131.4,40.67,5.64,106.53,46.68,144.23,150.71,173.73,240.64,105.51,172.19,32.44,24.5,102.18,67.03,52.13,51.65,85.7,140.41,108.22,28.73,124.72
Y0-M04-D27,91.95,139.03,157.41,134.77,43.61,5.51,104.62,45.68,149.34,147.77,176.04,238.66,105.68,166.54,32.11,24.1,101.05,65.77,49.82,50.27,86.93,151.79,110.31,29.05,123.9
Y0-M04-D28,91.51,137.34,155.03,135.66,43.8,5.4,108.96,45.34,144.43,140.74,172.83,239.03,104.6,173.31,31.37,24.34,100.61,64.99,48.34,49.82,84.33,147.55,108.91,29.67,123.38
Y0-M04-D29,89.57,135.38,148.54,134.47,41.56,5.39,107.2,45.21,144.66,139.49,167.62,236.99,100.12,175.97,31.78,24.48,100.0,64.89,48.05,49.75,83.63,149.12,105.94,29.43,116.66
Y0-M04-D30,88.73,135.84,152.69,136.45,40.53,5.39,103.12,41.37,140.71,143.86,167.53,239.57,99.01,183.25,32.34,24.53,100.31,66.14,46.47,49.69,80.3,145.04,104.65,29.85,113.66
Y0-M05-D01,88.08,135.11,154.68,132.69,40.48,5.35,98.81,39.62,147.19,142.36,179.75,244.91,99.35,193.07,33.72,24.31,99.73,64.34,45.6,50.08,82.5,150.13,105.07,31.37,116.28
Y0-M05-D04,88.96,134.31,146.54,137.15,38.48,5.38,98.9,37.64,143.53,138.02,177.31,242.01,100.08,192.36,34.22,24.42,100.59,65.47,46.31,49.64,79.83,145.92,105.14,31.28,112.32
Y0-M05-D05,86.69,136.3,144.18,138.15,38.13,5.38,101.13,40.64,140.18,139.16,175.92,249.91,103.93,198.54,34.57,24.56,99.39,66.55,47.36,50.29,77.47,140.89,106.24,30.82,116.68
Y0-M05-D06,87.71,137.28,151.62,148.12,37.72,4.96,100.87,38.63,138.83,143.65,173.64,247.95,102.5,200.45,33.69,24.73,97.23,67.77,45.1,49.69,77.72,141.32,106.39,29.46,121.84
Y0-M05-D07,85.78,135.61,151.61,150.64,38.2,4.87,102.9,35.86,131.32,142.15,176.97,260.88,101.48,199.68,34.34,24.29,97.18,64.8,43.42,48.05,78.9,147.44,107.57,29.49,119.58
Y0-M05-D08,87.34,137.32,155.54,150.37,38.06,4.85,103.56,37.45,133.94,145.1,180.09,259.51,100.59,194.5,34.35,24.09,96.74,65.04,41.45,48.35,77.33,139.92,103.32,28.08,117.21
Y0-M05-D11,86.49,137.83,155.19,146.6,37.92,4.6,98.66,38.18,133.72,146.56,182.04,264.4,105.41,193.38,34.87,24.07,95.08,65.52,40.52,48.31,74.32,139.57,102.64,29.46,126.28
Y0-M05-D12,86.12,138.95,162.44,146.2,37.08,4.63,97.09,38.17,134.58,145.52,182.55,264.83,106.26,192.32,35.51,24.6,98.18,69.69,40.13,49.24,75.11,141.39,103.08,30.01,123.6
Y0-M05-D13,87.63,137.48,164.69,141.48,39.02,4.67,96.48,39.93,133.7,141.91,193.07,274.03,106.16,189.2,35.14,24.4,97.27,68.4,39.99,49.97,76.08,139.28,108.43,30.32,119.32
Y0-M05-D14,86.51,138.29,166.4,146.78,40.7,4.5,96.83,40.16,130.92,137.24,197.95,274.19,105.32,194.29,35.46,24.26,97.51,68.48,40.71,48.8,77.07,135.15,108.0,29.78,115.31
Y0-M05-D15,88.17,138.04,165.67,150.45,41.75,4.42,94.44,40.46,133.85,139.42,204.23,269.75,109.85,195.2,35.21,24.74,97.38,72.65,40.16,49.69,73.79,129.34,104.14,28.71,114.44
Y0-M05-D18,90.62,137.8,166.27,150.11,41.12,4.65,96.21,40.36,133.09,136.34,196.66,264.13,108.5,190.95,35.76,24.79,97.5,71.52,40.17,48.97,74.49,137.38,105.06,30.57,118.49
Y0-M05-D19,90.77,137.89,166.1,145.65,39.8,4.74,98.87,38.08,137.27,136.29,192.76,258.36,108.62,186.49,34.47,24.78,96.6,71.76,38.78,48.76,73.7,127.57,105.43,30.56,117.81
Y0-M05-D20,89.7,136.97,165.75,145.29,38.33,4.62,93.62,40.9,140.06,140.49,190.82,262.43,106.93,181.65,33.8,24.86,95.16,72.48,38.73,48.47,72.95,126.77,105.68,29.89,121.21
Y0-M05-D21,89.56,137.21,158.86,139.62,36.78,4.39,91.13,40.08,138.09,136.92,190.29,258.62,105.66,179.17,33.85,24.45,93.07,68.5,37.94,46.67,73.5,121.81,101.07,29.87,132.76
Y0-M05-D22,90.31,138.9,160.38,134.52,36.71,4.38,90.71,39.31,137.9,133.21,183.26,257.16,103.5,178.89,33.24,24.4,92.02,66.19,37.2,45.57,71.14,115.93,97.26,30.11,130.44
Y0-M05-D25,90.01,139.27,148.1,130.84,35.51,4.49,92.04,38.69,131.53,136.11,180.04,255.63,103.11,173.61,33.0,24.21,91.88,64.26,36.22,44.54,71.68,114.78,96.28,30.08,133.19
Y0-M05-D26,88.95,138.44,147.93,129.55,36.3,4.6,91.01,37.02,126.98,134.22,184.21,258.62,105.27,173.85,33.81,23.91,92.07,63.71,36.56,44.21,73.22,118.05,98.17,30.13,138.33
Y0-M05-D27,86.81,138.73,149.21,123.13,35.54,4.76,92.28,35.73,128.91,130.56,179.81,248.97,101.18,163.33,33.7,23.9,91.88,64.33,37.46,44.57,72.44,121.76,100.96,29.61,124.36
Y0-M05-D28,88.26,138.21,152.55,125.42,37.24,4.77,94.21,36.49,131.33,134.77,189.19,248.87,101.56,166.17,33.22,23.84,92.38,61.92,37.15,44.11,74.27,119.49,102.58,29.05,120.76
Y0-M05-D29,87.23,137.7,148.17,127.78,37.24,4.74,95.52,38.24,133.39,133.86,189.74,249.79,102.46,164.03,32.95,24.23,92.32,61.93,37.94,44.44,71.47,117.66,101.34,27.57,116.53
Y0-M06-D01,87.16,137.12,144.81,123.47,36.26,5.08,96.96,40.56,135.12,133.63,185.68,248.58,103.17,157.58,31.78,24.32,92.54,61.69,39.64,44.99,68.7,116.78,101.95,27.98,116.27
Y0-M06-D02,83.44,137.45,140.32,124.98,34.64,5.11,98.36,40.92,126.07,133.61,183.16,241.85,101.84,157.43,31.43,24.05,90.86,59.09,38.46,44.01,71.76,118.17,103.16,27.92,119.81
Y0-M06-D03,84.38,137.55,142.75,119.84,34.68,4.95,92.61,39.49,121.48,131.8,177.93,238.9,99.84,155.3,31.01,24.29,90.02,62.53,39.48,43.14,72.29,115.48,102.98,28.61,120.04
Y0-M06-D04,85.48,137.33,138.88,122.43,35.0,5.17,92.36,41.49,119.34,127.97,174.8,239.31,99.9,151.74,31.43,24.43,88.42,62.96,38.53,42.69,74.87,113.27,107.04,28.6,118.3
Y0-M06-D05,86.12,137.75,140.71,124.17,35.41,5.31,90.8,41.65,124.32,129.46,167.79,234.66,97.82,152.82,31.64,24.34,87.02,62.06,39.78,42.58,72.54,111.02,107.99,27.3,111.19
Y0-M06-D08,84.82,138.03,143.45,126.39,35.55,5.23,94.31,42.03,132.94,128.77,173.31,235.78,98.6,147.39,32.23,24.49,86.12,63.68,40.3,42.58,72.2,109.96,109.45,28.05,107.84
Y0-M06-D09,85.64,139.61,138.9,121.37,37.4,5.45,99.39,42.7,138.43,132.02,170.48,229.88,99.04,151.35,32.0,24.51,87.53,65.19,41.6,43.1,72.53,102.3,110.68,27.42,105.14
Y0-M06-D10,83.86,137.28,130.59,113.35,35.9,5.43,100.74,41.23,145.6,126.96,173.08,226.91,96.75,142.49,32.3,24.88,87.02,65.96,42.54,43.86,70.29,96.42,107.72,26.29,102.36
Y0-M06-D11,83.7,137.36,127.81,114.58,35.27,5.62,101.68,42.23,148.27,126.94,174.87,230.71,97.31,143.83,32.13,24.89,88.11,63.79,42.06,43.8,69.91,95.12,105.4,26.19,103.15
Y0-M06-D12,82.22,136.53,126.18,114.5,34.66,5.98,102.61,42.89,153.51,130.45,175.74,229.75,99.05,148.45,32.83,25.15,87.11,66.05,41.62,44.98,67.98,89.45,104.21,25.28,103.55
Y0-M06-D15,81.76,135.89,125.63,111.24,33.17,6.13,98.27,42.62,156.34,131.88,171.96,228.41,101.34,149.74,32.63,24.98,87.04,65.5,41.04,44.43,67.95,88.55,103.5,25.31,102.81
Y0-M06-D16,82.08,133.27,122.14,108.55,33.9,6.19,99.14,42.4,160.27,129.96,165.4,225.62,100.45,143.76,32.72,25.55,88.74,68.69,43.47,44.42,67.11,82.62,99.29,24.7,100.2
Y0-M06-D17,81.18,131.67,120.22,109.27,35.77,5.91,97.97,43.53,158.63,128.12,166.69,225.39,99.36,144.77,33.13,25.07,86.28,66.59,42.72,43.69,67.43,84.01,99.28,24.12,93.2
Y0-M06-D18,81.43,129.76,115.49,103.34,34.47,5.85,99.28,43.62,162.5,131.9,167.87,225.23,98.36,150.22,32.2,25.32,87.37,69.12,41.77,43.73,68.43,87.68,101.07,24.4,98.05
Y0-M06-D19,80.37,129.4,116.39,101.47,34.25,5.91,102.75,44.91,163.15,130.37,177.32,232.43,98.5,155.25,32.37,25.27,87.54,69.46,40.59,43.94,69.52,90.9,101.08,25.37,96.23
Y0-M06-D22,82.08,132.33,118.92,106.94,35.65,5.6,101.01,42.71,158.4,132.98,173.47,225.61,96.31,145.19,31.49,24.96,88.5,71.3,40.42,45.4,71.06,89.38,103.24,25.88,94.82
Y0-M06-D23,83.75,133.53,126.07,108.79,34.99,5.52,101.69,42.42,165.37,128.91,178.3,228.84,96.21,145.29,31.09,24.49,87.46,71.97,38.72,43.57,73.92,91.25,107.89,26.73,95.98
Y0-M06-D24,83.95,134.14,125.59,106.68,34.31,5.48,99.72,43.07,161.35,131.33,177.49,224.21,96.93,146.72,31.23,24.65,87.61,72.35,37.79,43.42,71.35,87.73,107.44,25.73,89.91
Y0-M06-D25,85.03,136.31,123.28,101.09,32.55,5.62,97.08,43.32,160.16,133.32,185.29,221.42,97.27,149.45,31.45,25.02,86.91,71.46,36.85,43.01,71.79,89.13,107.69,25.34,88.56
Y0-M06-D26,85.94,137.78,125.65,103.61,33.68,5.81,100.47,42.45,173.34,142.23,188.87,223.54,95.38,150.16,31.36,25.38,85.88,73.55,37.57,42.25,70.18,92.65,109.71,25.95,89.17
